"STATISTIC","Statistic Label","TLIST(D1)","Daily","C03634V04374","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D11","2020 June 11","10","Daily total","Euro Thousand","149203"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D11","2020 June 11","20","Seven day rolling total","Euro Thousand","905333"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D12","2020 June 12","10","Daily total","Euro Thousand","160712"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D12","2020 June 12","20","Seven day rolling total","Euro Thousand","906652"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D13","2020 June 13","10","Daily total","Euro Thousand","128912"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D13","2020 June 13","20","Seven day rolling total","Euro Thousand","914522"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D14","2020 June 14","10","Daily total","Euro Thousand","85815"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D14","2020 June 14","20","Seven day rolling total","Euro Thousand","919652"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D15","2020 June 15","10","Daily total","Euro Thousand","127786"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D15","2020 June 15","20","Seven day rolling total","Euro Thousand","921188"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D16","2020 June 16","10","Daily total","Euro Thousand","137781"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D16","2020 June 16","20","Seven day rolling total","Euro Thousand","924019"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D17","2020 June 17","10","Daily total","Euro Thousand","137226"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D17","2020 June 17","20","Seven day rolling total","Euro Thousand","927435"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D18","2020 June 18","10","Daily total","Euro Thousand","152447"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D18","2020 June 18","20","Seven day rolling total","Euro Thousand","930678"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D19","2020 June 19","10","Daily total","Euro Thousand","166091"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D19","2020 June 19","20","Seven day rolling total","Euro Thousand","936058"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D20","2020 June 20","10","Daily total","Euro Thousand","136662"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D20","2020 June 20","20","Seven day rolling total","Euro Thousand","943808"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D21","2020 June 21","10","Daily total","Euro Thousand","85782"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D21","2020 June 21","20","Seven day rolling total","Euro Thousand","943775"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D22","2020 June 22","10","Daily total","Euro Thousand","126637"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D22","2020 June 22","20","Seven day rolling total","Euro Thousand","942626"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D23","2020 June 23","10","Daily total","Euro Thousand","145401"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D23","2020 June 23","20","Seven day rolling total","Euro Thousand","950246"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D24","2020 June 24","10","Daily total","Euro Thousand","136311"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D24","2020 June 24","20","Seven day rolling total","Euro Thousand","949331"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D25","2020 June 25","10","Daily total","Euro Thousand","157505"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D25","2020 June 25","20","Seven day rolling total","Euro Thousand","954389"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D26","2020 June 26","10","Daily total","Euro Thousand","179155"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D26","2020 June 26","20","Seven day rolling total","Euro Thousand","967453"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D27","2020 June 27","10","Daily total","Euro Thousand","142797"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D27","2020 June 27","20","Seven day rolling total","Euro Thousand","973588"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D28","2020 June 28","10","Daily total","Euro Thousand","95882"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D28","2020 June 28","20","Seven day rolling total","Euro Thousand","983687"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D29","2020 June 29","10","Daily total","Euro Thousand","142235"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D29","2020 June 29","20","Seven day rolling total","Euro Thousand","999285"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D30","2020 June 30","10","Daily total","Euro Thousand","156038"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M06D30","2020 June 30","20","Seven day rolling total","Euro Thousand","1009923"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D01","2020 July 01","10","Daily total","Euro Thousand","153860"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D01","2020 July 01","20","Seven day rolling total","Euro Thousand","1027471"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D02","2020 July 02","10","Daily total","Euro Thousand","159246"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D02","2020 July 02","20","Seven day rolling total","Euro Thousand","1029213"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D03","2020 July 03","10","Daily total","Euro Thousand","176616"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D03","2020 July 03","20","Seven day rolling total","Euro Thousand","1026674"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D04","2020 July 04","10","Daily total","Euro Thousand","141362"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D04","2020 July 04","20","Seven day rolling total","Euro Thousand","1025239"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D05","2020 July 05","10","Daily total","Euro Thousand","95781"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D05","2020 July 05","20","Seven day rolling total","Euro Thousand","1025138"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D06","2020 July 06","10","Daily total","Euro Thousand","135959"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D06","2020 July 06","20","Seven day rolling total","Euro Thousand","1018862"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D07","2020 July 07","10","Daily total","Euro Thousand","149449"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D07","2020 July 07","20","Seven day rolling total","Euro Thousand","1012273"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D08","2020 July 08","10","Daily total","Euro Thousand","144623"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D08","2020 July 08","20","Seven day rolling total","Euro Thousand","1003036"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D09","2020 July 09","10","Daily total","Euro Thousand","157424"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D09","2020 July 09","20","Seven day rolling total","Euro Thousand","1001214"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D10","2020 July 10","10","Daily total","Euro Thousand","168886"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D10","2020 July 10","20","Seven day rolling total","Euro Thousand","993484"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D11","2020 July 11","10","Daily total","Euro Thousand","139097"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D11","2020 July 11","20","Seven day rolling total","Euro Thousand","991219"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D12","2020 July 12","10","Daily total","Euro Thousand","94728"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D12","2020 July 12","20","Seven day rolling total","Euro Thousand","990166"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D13","2020 July 13","10","Daily total","Euro Thousand","134734"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D13","2020 July 13","20","Seven day rolling total","Euro Thousand","988941"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D14","2020 July 14","10","Daily total","Euro Thousand","141347"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D14","2020 July 14","20","Seven day rolling total","Euro Thousand","980839"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D15","2020 July 15","10","Daily total","Euro Thousand","142011"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D15","2020 July 15","20","Seven day rolling total","Euro Thousand","978227"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D16","2020 July 16","10","Daily total","Euro Thousand","153967"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D16","2020 July 16","20","Seven day rolling total","Euro Thousand","974769"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D17","2020 July 17","10","Daily total","Euro Thousand","170171"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D17","2020 July 17","20","Seven day rolling total","Euro Thousand","976055"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D18","2020 July 18","10","Daily total","Euro Thousand","139434"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D18","2020 July 18","20","Seven day rolling total","Euro Thousand","976392"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D19","2020 July 19","10","Daily total","Euro Thousand","92868"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D19","2020 July 19","20","Seven day rolling total","Euro Thousand","974532"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D20","2020 July 20","10","Daily total","Euro Thousand","132660"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D20","2020 July 20","20","Seven day rolling total","Euro Thousand","972458"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D21","2020 July 21","10","Daily total","Euro Thousand","139490"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D21","2020 July 21","20","Seven day rolling total","Euro Thousand","970601"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D22","2020 July 22","10","Daily total","Euro Thousand","141372"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D22","2020 July 22","20","Seven day rolling total","Euro Thousand","969962"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D23","2020 July 23","10","Daily total","Euro Thousand","160271"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D23","2020 July 23","20","Seven day rolling total","Euro Thousand","976266"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D24","2020 July 24","10","Daily total","Euro Thousand","182225"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D24","2020 July 24","20","Seven day rolling total","Euro Thousand","988320"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D25","2020 July 25","10","Daily total","Euro Thousand","145939"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D25","2020 July 25","20","Seven day rolling total","Euro Thousand","994824"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D26","2020 July 26","10","Daily total","Euro Thousand","100135"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D26","2020 July 26","20","Seven day rolling total","Euro Thousand","1002091"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D27","2020 July 27","10","Daily total","Euro Thousand","144274"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D27","2020 July 27","20","Seven day rolling total","Euro Thousand","1013704"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D28","2020 July 28","10","Daily total","Euro Thousand","150293"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D28","2020 July 28","20","Seven day rolling total","Euro Thousand","1024508"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D29","2020 July 29","10","Daily total","Euro Thousand","150515"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D29","2020 July 29","20","Seven day rolling total","Euro Thousand","1033651"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D30","2020 July 30","10","Daily total","Euro Thousand","172851"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D30","2020 July 30","20","Seven day rolling total","Euro Thousand","1046232"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D31","2020 July 31","10","Daily total","Euro Thousand","193387"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M07D31","2020 July 31","20","Seven day rolling total","Euro Thousand","1057394"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D01","2020 August 01","10","Daily total","Euro Thousand","150793"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D01","2020 August 01","20","Seven day rolling total","Euro Thousand","1062248"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D02","2020 August 02","10","Daily total","Euro Thousand","99952"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D02","2020 August 02","20","Seven day rolling total","Euro Thousand","1062065"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D03","2020 August 03","10","Daily total","Euro Thousand","105720"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D03","2020 August 03","20","Seven day rolling total","Euro Thousand","1023511"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D04","2020 August 04","10","Daily total","Euro Thousand","156871"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D04","2020 August 04","20","Seven day rolling total","Euro Thousand","1030089"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D05","2020 August 05","10","Daily total","Euro Thousand","149087"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D05","2020 August 05","20","Seven day rolling total","Euro Thousand","1028661"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D06","2020 August 06","10","Daily total","Euro Thousand","163644"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D06","2020 August 06","20","Seven day rolling total","Euro Thousand","1019453"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D07","2020 August 07","10","Daily total","Euro Thousand","175335"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D07","2020 August 07","20","Seven day rolling total","Euro Thousand","1001401"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D08","2020 August 08","10","Daily total","Euro Thousand","136010"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D08","2020 August 08","20","Seven day rolling total","Euro Thousand","986618"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D09","2020 August 09","10","Daily total","Euro Thousand","95199"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D09","2020 August 09","20","Seven day rolling total","Euro Thousand","981864"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D10","2020 August 10","10","Daily total","Euro Thousand","137523"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D10","2020 August 10","20","Seven day rolling total","Euro Thousand","1013668"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D11","2020 August 11","10","Daily total","Euro Thousand","139416"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D11","2020 August 11","20","Seven day rolling total","Euro Thousand","996213"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D12","2020 August 12","10","Daily total","Euro Thousand","139110"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D12","2020 August 12","20","Seven day rolling total","Euro Thousand","986236"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D13","2020 August 13","10","Daily total","Euro Thousand","157346"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D13","2020 August 13","20","Seven day rolling total","Euro Thousand","979938"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D14","2020 August 14","10","Daily total","Euro Thousand","174562"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D14","2020 August 14","20","Seven day rolling total","Euro Thousand","979165"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D15","2020 August 15","10","Daily total","Euro Thousand","138730"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D15","2020 August 15","20","Seven day rolling total","Euro Thousand","981886"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D16","2020 August 16","10","Daily total","Euro Thousand","97705"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D16","2020 August 16","20","Seven day rolling total","Euro Thousand","984393"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D17","2020 August 17","10","Daily total","Euro Thousand","137525"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D17","2020 August 17","20","Seven day rolling total","Euro Thousand","984395"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D18","2020 August 18","10","Daily total","Euro Thousand","139345"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D18","2020 August 18","20","Seven day rolling total","Euro Thousand","984323"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D19","2020 August 19","10","Daily total","Euro Thousand","137544"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D19","2020 August 19","20","Seven day rolling total","Euro Thousand","982757"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D20","2020 August 20","10","Daily total","Euro Thousand","153326"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D20","2020 August 20","20","Seven day rolling total","Euro Thousand","978737"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D21","2020 August 21","10","Daily total","Euro Thousand","172212"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D21","2020 August 21","20","Seven day rolling total","Euro Thousand","976387"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D22","2020 August 22","10","Daily total","Euro Thousand","143253"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D22","2020 August 22","20","Seven day rolling total","Euro Thousand","980910"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D23","2020 August 23","10","Daily total","Euro Thousand","98676"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D23","2020 August 23","20","Seven day rolling total","Euro Thousand","981881"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D24","2020 August 24","10","Daily total","Euro Thousand","137964"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D24","2020 August 24","20","Seven day rolling total","Euro Thousand","982319"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D25","2020 August 25","10","Daily total","Euro Thousand","148593"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D25","2020 August 25","20","Seven day rolling total","Euro Thousand","991567"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D26","2020 August 26","10","Daily total","Euro Thousand","146708"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D26","2020 August 26","20","Seven day rolling total","Euro Thousand","1000731"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D27","2020 August 27","10","Daily total","Euro Thousand","167864"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D27","2020 August 27","20","Seven day rolling total","Euro Thousand","1015269"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D28","2020 August 28","10","Daily total","Euro Thousand","188617"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D28","2020 August 28","20","Seven day rolling total","Euro Thousand","1031675"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D29","2020 August 29","10","Daily total","Euro Thousand","156646"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D29","2020 August 29","20","Seven day rolling total","Euro Thousand","1045067"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D30","2020 August 30","10","Daily total","Euro Thousand","106786"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D30","2020 August 30","20","Seven day rolling total","Euro Thousand","1053177"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D31","2020 August 31","10","Daily total","Euro Thousand","151762"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M08D31","2020 August 31","20","Seven day rolling total","Euro Thousand","1066975"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D01","2020 September 01","10","Daily total","Euro Thousand","159857"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D01","2020 September 01","20","Seven day rolling total","Euro Thousand","1078240"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D02","2020 September 02","10","Daily total","Euro Thousand","146762"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D02","2020 September 02","20","Seven day rolling total","Euro Thousand","1078293"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D03","2020 September 03","10","Daily total","Euro Thousand","162934"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D03","2020 September 03","20","Seven day rolling total","Euro Thousand","1073363"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D04","2020 September 04","10","Daily total","Euro Thousand","176641"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D04","2020 September 04","20","Seven day rolling total","Euro Thousand","1061387"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D05","2020 September 05","10","Daily total","Euro Thousand","149323"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D05","2020 September 05","20","Seven day rolling total","Euro Thousand","1054064"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D06","2020 September 06","10","Daily total","Euro Thousand","103362"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D06","2020 September 06","20","Seven day rolling total","Euro Thousand","1050640"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D07","2020 September 07","10","Daily total","Euro Thousand","136894"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D07","2020 September 07","20","Seven day rolling total","Euro Thousand","1035772"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D08","2020 September 08","10","Daily total","Euro Thousand","136915"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D08","2020 September 08","20","Seven day rolling total","Euro Thousand","1012830"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D09","2020 September 09","10","Daily total","Euro Thousand","137903"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D09","2020 September 09","20","Seven day rolling total","Euro Thousand","1003972"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D10","2020 September 10","10","Daily total","Euro Thousand","156497"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D10","2020 September 10","20","Seven day rolling total","Euro Thousand","997535"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D11","2020 September 11","10","Daily total","Euro Thousand","174505"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D11","2020 September 11","20","Seven day rolling total","Euro Thousand","995399"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D12","2020 September 12","10","Daily total","Euro Thousand","146762"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D12","2020 September 12","20","Seven day rolling total","Euro Thousand","992838"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D13","2020 September 13","10","Daily total","Euro Thousand","101581"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D13","2020 September 13","20","Seven day rolling total","Euro Thousand","991057"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D14","2020 September 14","10","Daily total","Euro Thousand","135419"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D14","2020 September 14","20","Seven day rolling total","Euro Thousand","989582"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D15","2020 September 15","10","Daily total","Euro Thousand","138989"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D15","2020 September 15","20","Seven day rolling total","Euro Thousand","991656"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D16","2020 September 16","10","Daily total","Euro Thousand","138116"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D16","2020 September 16","20","Seven day rolling total","Euro Thousand","991869"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D17","2020 September 17","10","Daily total","Euro Thousand","158903"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D17","2020 September 17","20","Seven day rolling total","Euro Thousand","994274"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D18","2020 September 18","10","Daily total","Euro Thousand","173934"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D18","2020 September 18","20","Seven day rolling total","Euro Thousand","993703"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D19","2020 September 19","10","Daily total","Euro Thousand","144036"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D19","2020 September 19","20","Seven day rolling total","Euro Thousand","990978"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D20","2020 September 20","10","Daily total","Euro Thousand","101147"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D20","2020 September 20","20","Seven day rolling total","Euro Thousand","990543"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D21","2020 September 21","10","Daily total","Euro Thousand","136959"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D21","2020 September 21","20","Seven day rolling total","Euro Thousand","992083"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D22","2020 September 22","10","Daily total","Euro Thousand","137595"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D22","2020 September 22","20","Seven day rolling total","Euro Thousand","990689"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D23","2020 September 23","10","Daily total","Euro Thousand","144928"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D23","2020 September 23","20","Seven day rolling total","Euro Thousand","997501"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D24","2020 September 24","10","Daily total","Euro Thousand","167677"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D24","2020 September 24","20","Seven day rolling total","Euro Thousand","1006276"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D25","2020 September 25","10","Daily total","Euro Thousand","194436"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D25","2020 September 25","20","Seven day rolling total","Euro Thousand","1026778"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D26","2020 September 26","10","Daily total","Euro Thousand","153761"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D26","2020 September 26","20","Seven day rolling total","Euro Thousand","1036502"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D27","2020 September 27","10","Daily total","Euro Thousand","107057"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D27","2020 September 27","20","Seven day rolling total","Euro Thousand","1042412"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D28","2020 September 28","10","Daily total","Euro Thousand","146955"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D28","2020 September 28","20","Seven day rolling total","Euro Thousand","1052408"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D29","2020 September 29","10","Daily total","Euro Thousand","143975"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D29","2020 September 29","20","Seven day rolling total","Euro Thousand","1058789"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D30","2020 September 30","10","Daily total","Euro Thousand","153698"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M09D30","2020 September 30","20","Seven day rolling total","Euro Thousand","1067558"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D01","2020 October 01","10","Daily total","Euro Thousand","171062"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D01","2020 October 01","20","Seven day rolling total","Euro Thousand","1070943"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D02","2020 October 02","10","Daily total","Euro Thousand","177379"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D02","2020 October 02","20","Seven day rolling total","Euro Thousand","1053886"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D03","2020 October 03","10","Daily total","Euro Thousand","147205"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D03","2020 October 03","20","Seven day rolling total","Euro Thousand","1047330"
"CBM03C06","Debit Card Volumes - Point of Sale","2020M10D04","2020 October 04","10","Daily total","Euro Thousand","100185"
